X,State,date,cases,Gather,lock_down,school_close,business_close,restaurant_close,quarantine,curfew,emergdec,travel,Mask,Social_Distancing,SD_relative,M_relative,LD_relative
129182,Louisiana,4/8/20,86,7,1,0,1,0,0,0,1,0,1,1,28,4,16
129248,Louisiana,4/9/20,89,7,1,0,1,0,0,0,1,0,1,1,29,5,17
129314,Louisiana,4/10/20,94,7,1,0,1,0,0,0,1,0,1,1,30,6,18
129380,Louisiana,4/11/20,98,7,1,0,1,0,0,0,1,0,1,1,31,7,19
129446,Louisiana,4/12/20,99,7,1,0,1,0,0,0,1,0,1,1,32,8,20
129512,Louisiana,4/13/20,101,7,1,0,1,0,0,0,1,0,1,1,33,9,21
129578,Louisiana,4/14/20,104,7,1,0,1,0,0,0,1,0,1,1,34,10,22
129644,Louisiana,4/15/20,105,7,1,0,1,0,0,0,1,0,1,1,35,11,23
129710,Louisiana,4/16/20,108,7,1,0,1,0,0,0,1,0,1,1,36,12,24
129776,Louisiana,4/17/20,1220,7,1,0,1,0,0,0,1,0,1,1,37,13,25
129842,Louisiana,4/18/20,110,7,1,0,1,0,0,0,1,0,1,1,38,14,26
129908,Louisiana,4/19/20,110,7,1,0,1,0,0,0,1,0,1,1,39,15,27
129974,Louisiana,4/20/20,114,7,1,0,1,0,0,0,1,0,1,1,40,16,28
130040,Louisiana,4/21/20,114,7,1,0,1,0,0,0,1,0,1,1,41,17,29
130106,Louisiana,4/22/20,202,7,1,0,1,0,0,0,1,0,1,1,42,18,30
130172,Louisiana,4/23/20,117,7,1,0,1,0,0,0,1,0,1,1,43,19,31
130238,Louisiana,4/24/20,218,7,1,0,1,0,0,0,1,0,1,1,44,20,32
130304,Louisiana,4/25/20,130,7,1,0,1,0,0,0,1,0,1,1,45,21,33
130370,Louisiana,4/26/20,130,7,1,0,1,0,0,0,1,0,1,1,46,22,34
130436,Louisiana,4/27/20,130,7,1,0,1,0,0,0,1,0,1,1,47,23,35
130502,Louisiana,4/28/20,226,7,1,0,1,0,0,0,1,0,1,1,48,24,36
130568,Louisiana,4/29/20,0,7,1,0,1,0,0,0,1,0,1,1,49,25,37
130634,Louisiana,4/30/20,232,7,1,0,1,0,0,0,1,0,1,1,50,26,38
130700,Louisiana,5/1/20,133,7,1,0,1,0,0,0,1,0,1,1,51,27,39
130766,Louisiana,5/2/20,0,7,1,0,1,0,0,0,1,0,1,1,52,28,40
130832,Louisiana,5/3/20,134,7,1,0,1,0,0,0,1,0,1,1,53,29,41
130898,Louisiana,5/4/20,244,7,1,0,1,0,0,0,1,0,1,1,54,30,42
130964,Louisiana,5/5/20,63,7,1,0,1,0,0,0,1,0,1,1,55,31,43
131030,Louisiana,5/6/20,303,7,1,0,1,0,0,0,1,0,1,1,56,32,44
131096,Louisiana,5/7/20,118,7,1,0,1,0,0,0,1,0,1,1,57,33,45
131162,Louisiana,5/8/20,142,7,1,0,1,0,0,0,1,0,1,1,58,34,46
131228,Louisiana,NA,NA,7,1,0,1,0,0,1,1,0,0,1,NA,NA,NA
131229,Maine,1/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131247,Maine,1/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131265,Maine,1/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131283,Maine,1/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131301,Maine,1/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131319,Maine,1/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
