"","State","Countynames","Code","FIPS","Population"
"388","Georgia","Banks ","GA",13011,37976
"389","Georgia","Barrow ","GA",13013,161618
"390","Georgia","Bartow ","GA",13015,212816
"391","Georgia","Ben Hill ","GA",13017,33574
"392","Georgia","Berrien ","GA",13019,38504
"393","Georgia","Bibb ","GA",13021,306190
"394","Georgia","Bleckley ","GA",13023,25676
"395","Georgia","Brantley ","GA",13025,37794
"396","Georgia","Brooks ","GA",13027,31026
"397","Georgia","Bryan ","GA",13029,76218
"398","Georgia","Bulloch ","GA",13031,154592
"399","Georgia","Burke ","GA",13033,44846
"400","Georgia","Butts ","GA",13035,48386
"401","Georgia","Calhoun ","GA",13037,12704
"402","Georgia","Camden ","GA",13039,107354
"403","Georgia","Candler ","GA",13043,21672
"404","Georgia","Carroll ","GA",13045,236242
"405","Georgia","Catoosa ","GA",13047,134840
"406","Georgia","Charlton ","GA",13049,25936
"407","Georgia","Chatham ","GA",13051,578390
"408","Georgia","Chattahoochee ","GA",13053,21368
"409","Georgia","Chattooga ","GA",13055,49580
"410","Georgia","Cherokee ","GA",13057,508298
"411","Georgia","Clarke ","GA",13059,254660
"412","Georgia","Clay ","GA",13061,5774
"413","Georgia","Clayton ","GA",13063,579230
"414","Georgia","Clinch ","GA",13065,13296
"415","Georgia","Cobb ","GA",13067,1513730
"416","Georgia","Coffee ","GA",13069,86186
"417","Georgia","Colquitt ","GA",13071,91184
"418","Georgia","Columbia ","GA",13073,308582
"419","Georgia","Cook ","GA",13075,34324
"420","Georgia","Coweta ","GA",13077,291728
"421","Georgia","Crawford ","GA",13079,24636
"422","Georgia","Crisp ","GA",13081,45202
"423","Georgia","Dade ","GA",13083,32452
"424","Georgia","Dawson ","GA",13085,50166
"425","Georgia","Decatur ","GA",13087,53150
"426","Georgia","DeKalb ","GA",13089,1513116
"427","Georgia","Dodge ","GA",13091,41410
"428","Georgia","Dooly ","GA",13093,27412
"429","Georgia","Dougherty ","GA",13095,182486
"430","Georgia","Douglas ","GA",13097,290662
"431","Georgia","Early ","GA",13099,20494
"432","Georgia","Echols ","GA",13101,8000
"433","Georgia","Effingham ","GA",13103,124380
"434","Georgia","Elbert ","GA",13105,38240
"435","Georgia","Emanuel ","GA",13107,45224
"436","Georgia","Evans ","GA",13109,21442
"437","Georgia","Fannin ","GA",13111,51928
"438","Georgia","Fayette ","GA",13113,226918
"439","Georgia","Floyd ","GA",13115,195854
"440","Georgia","Forsyth ","GA",13117,473224
"441","Georgia","Franklin ","GA",13119,46046
"442","Georgia","Fulton ","GA",13121,2100228
"443","Georgia","Gilmer ","GA",13123,61632
"444","Georgia","Glascock ","GA",13125,5990
"445","Georgia","Glynn ","GA",13127,170438
"446","Georgia","Gordon ","GA",13129,115370
"447","Georgia","Grady ","GA",13131,49496
"448","Georgia","Greene ","GA",13133,35396
"449","Georgia","Gwinnett ","GA",13135,1855562
"450","Georgia","Habersham ","GA",13137,90776
"451","Georgia","Hall ","GA",13139,404296
"452","Georgia","Hancock ","GA",13141,16696
"453","Georgia","Haralson ","GA",13143,59066
"454","Georgia","Harris ","GA",13145,68950
"455","Georgia","Hart ","GA",13147,52198
