"","FIPS","essential_job_numbers"
"930","20037 ",51283
"931","20039 ",1451
"932","20041 ",56843
"933","20043 ",27557
"934","20045 ",68910
"935","20047 ",19449
"936","20049 ",12529
"937","20051 ",33511
"938","20053 ",51043
"939","20055 ",77692
"940","20057 ",85455
"941","20059 ",53919
"942","20061 ",49931
"943","20063 ",46099
"944","20065 ",31683
"945","20067 ",46411
"946","20069 ",43721
"947","20071 ",32262
"948","20073 ",36730
"949","20075 ",1891
"950","20077 ",48706
"951","20079 ",34357
"952","20081 ",29045
"953","20083 ",26236
"954","20085 ",38022
"955","20087 ",36103
"956","20089 ",27280
"957","20091 ",49023
"958","20093 ",3096
"959","20095 ",61119
"960","20097 ",24943
"961","20099 ",38522
"962","20101 ",2211
"963","20103 ",28551
"964","20105 ",12153
"965","20107 ",32769
"966","20109 ",1520
"967","20111 ",42453
"968","20113 ",53709
"969","20115 ",33968
"970","20117 ",23724
"971","20119 ",32215
"972","20121 ",44090
"973","20123 ",30074
"974","20125 ",89310
"975","20127 ",44643
"976","20129 ",40658
"977","20131 ",28693
"978","20133 ",34243
"979","20135 ",52800
"980","20137 ",34589
"981","20139 ",33722
"982","20141 ",9743
"983","20143 ",102866
"984","20145 ",74017
"985","20147 ",50100
"986","20149 ",22780
"987","20151 ",46136
"988","20153 ",30340
"989","20155 ",46073
"990","20157 ",45997
"991","20159 ",40983
"992","20161 ",42196
"993","20163 ",27027
"994","20165 ",72941
"995","20167 ",28317
"996","20169 ",23353
"997","20171 ",33181
"998","20173 ",60247
"999","20175 ",65716
"1000","20177 ",83019
"1001","20179 ",47103
"1002","20181 ",31980
"1003","20183 ",28884
"1004","20185 ",75244
"1005","20187 ",56322
"1006","20189 ",9644
"1007","20191 ",58361
"1008","20193 ",26234
"1009","20195 ",56816
"1010","20197 ",49097
"1011","20199 ",31725
"1012","20201 ",15789
"1013","20203 ",36747
"1014","20205 ",39112
"1015","20207 ",54987
"1016","20209 ",24670
"1017","21001 ",54118
"1018","21003 ",50434
"1019","21005 ",10810
"1020","21007 ",45150
"1021","21009 ",51512
"1022","21011 ",34799
"1023","21013 ",67341
"1024","21015 ",49748
"1025","21017 ",47845
"1026","21019 ",47520
"1027","21021 ",42570
"1028","21023 ",55363
"1029","21025 ",53240
"1030","21027 ",38155
"1031","21029 ",39393
"1032","21031 ",38654
"1033","21033 ",17061
"1034","21035 ",48349
"1035","21037 ",14192
"1036","21039 ",73409
"1037","21041 ",45430
"1038","21043 ",42087
"1039","21045 ",18731
"1040","21047 ",35331
"1041","21049 ",58422
"1042","21051 ",32451
"1043","21053 ",12612
"1044","21055 ",35026
"1045","21057 ",20350
"1046","21059 ",59512
"1047","21061 ",37443
"1048","21063 ",30137
"1049","21065 ",49824
"1050","21067 ",59119
"1051","21069 ",42618
"1052","21071 ",84071
"1053","21073 ",30576
"1054","21075 ",53412
"1055","21077 ",10977
"1056","21079 ",46348
"1057","21081 ",30588
"1058","21083 ",45213
"1059","21085 ",41160
"1060","21087 ",55517
"1061","21089 ",38681
"1062","21091 ",19317
"1063","21093 ",52769
"1064","21095 ",30621
"1065","21097 ",35514
"1066","21099 ",56300
"1067","21101 ",66198
"1068","21103 ",42196
"1069","21105 ",14588
"1070","21107 ",62934
"1071","21109 ",9135
"1072","21111 ",72377
"1073","21113 ",18065
"1074","21115 ",39638
"1075","21117 ",58250
"1076","21119 ",9513
"1077","21121 ",46496
"1078","21123 ",44141
"1079","21125 ",88229
"1080","21127 ",17769
"1081","21129 ",20050
"1082","21131 ",17
"1083","21133 ",25056
"1084","21135 ",54001
"1085","21137 ",61361
"1086","21139 ",56531
"1087","21141 ",64397
"1088","21143 ",25805
"1089","21145 ",26799
"1090","21147 ",7932
"1091","21149 ",29658
"1092","21151 ",74992
"1093","21153 ",22263
"1094","21155 ",55394
"1095","21157 ",28886
"1096","21159 ",59104
"1097","21161 ",36432
"1098","21163 ",52075
"1099","21165 ",17316
"1100","21167 ",33580
"1101","21169 ",34836
"1102","21171 ",43494
"1103","21173 ",21257
"1104","21175 ",26268
"1105","21177 ",67700
"1106","21179 ",68352
"1107","21181 ",6810
"1108","21183 ",27192
"1109","21185 ",26638
"1110","21187 ",26432
"1111","21189 ",45256
"1112","21191 ",32438
"1113","21193 ",43193
"1114","21195 ",103438
"1115","21197 ",32390
"1116","21199 ",28900
"1117","21201 ",14143
"1118","21203 ",17513
"1119","21205 ",15850
"1120","21207 ",32504
"1121","21209 ",6551
"1122","21211 ",74895
"1123","21213 ",53068
"1124","21215 ",52971
"1125","21217 ",15219
"1126","21219 ",37331
"1127","21221 ",41052
"1128","21223 ",25195
"1129","21225 ",32896
"1130","21227 ",43132
"1131","21229 ",47001
"1132","21231 ",17892
"1133","21233 ",32495
"1134","21235 ",29357
"1135","21237 ",33971
"1136","21239 ",45218
"1137","22001 ",73198
"1138","22003 ",77178
"1139","22005 ",44757
"1140","22007 ",62868
"1141","22009 ",47920
"1142","22011 ",62182
"1143","22013 ",68992
"1144","22015 ",54695
"1145","22017 ",96575
"1146","22019 ",74596
"1147","22021 ",77946
"1148","22023 ",45123
"1149","22025 ",39950
"1150","22027 ",68938
"1151","22029 ",58619
"1152","22031 ",87360
"1153","22033 ",51820
"1154","22035 ",33598
"1155","22037 ",63959
"1156","22039 ",76767
"1157","22041 ",76005
"1158","22043 ",35366
"1159","22045 ",50644
"1160","22047 ",31475
"1161","22049 ",8682
"1162","22051 ",55334
"1163","22053 ",87583
"1164","22055 ",92300
"1165","22057 ",104390
"1166","22059 ",40838
"1167","22061 ",83551
"1168","22063 ",84020
"1169","22065 ",40010
"1170","22067 ",68462
"1171","22069 ",86551
"1172","22071 ",83647
"1173","22073 ",89205
"1174","22075 ",85513
"1175","22077 ",52638
"1176","22079 ",72264
"1177","22081 ",56411
"1178","22083 ",85133
"1179","22085 ",76743
"1180","22087 ",12751
"1181","22089 ",64987
"1182","22091 ",25059
"1183","22093 ",22417
"1184","22095 ",34717
"1185","22097 ",69973
"1186","22099 ",81488
"1187","22101 ",61626
"1188","22103 ",78002
"1189","22105 ",64904
"1190","22107 ",39572
"1191","22109 ",65074
"1192","22111 ",72501
"1193","22113 ",75892
"1194","22115 ",64449
"1195","22117 ",29051
"1196","22119 ",50204
"1197","22121 ",21841
"1198","22123 ",26254
"1199","22125 ",44652
"1200","22127 ",70223
"1201","23001 ",46907
"1202","23003 ",32165
"1203","23005 ",63777
"1204","23007 ",48182
"1205","23009 ",68044
"1206","23011 ",32224
"1207","23013 ",82173
"1208","23015 ",18537
"1209","23017 ",91789
"1210","23019 ",56634
"1211","23021 ",46066
"1212","23023 ",31092
"1213","23025 ",48361
"1214","23027 ",20892
"1215","23029 ",68251
"1216","23031 ",83980
"1217","24001 ",46657
"1218","24003 ",62591
"1219","24005 ",59882
"1220","24009 ",46370
"1221","24011 ",9911
"1222","24013 ",43249
"1223","24015 ",85928
"1224","24017 ",48090
"1225","24019 ",27072
"1226","24021 ",30169
"1227","24023 ",66021
"1228","24025 ",99736
"1229","24027 ",52677
"1230","24029 ",66841
"1231","24031 ",76418
"1232","24033 ",47965
"1233","24035 ",10403
"1234","24037 ",38124
"1235","24039 ",50603
"1236","24041 ",27528
"1237","24043 ",65555
"1238","24045 ",52053
"1239","24047 ",71404
"1240","24510 ",44558
"1241","25001 ",37464
"1242","25003 ",24241
"1243","25005 ",13426
"1244","25007 ",42374
"1245","25009 ",45296
"1246","25011 ",59931
"1247","25013 ",42422
"1248","25015 ",71055
"1249","25017 ",104900
"1250","25019 ",16088
"1251","25021 ",68318
"1252","25023 ",45783
"1253","25025 ",28243
"1254","25027 ",72814
"1255","26001 ",38689
"1256","26003 ",53791
"1257","26005 ",51294
"1258","26007 ",72609
"1259","26009 ",1784
"1260","26011 ",39013
"1261","26013 ",29082
"1262","26015 ",46286
"1263","26017 ",31890
"1264","26019 ",34800
"1265","26021 ",39484
"1266","26023 ",73924
"1267","26025 ",19420
"1268","26027 ",41512
"1269","26029 ",22881
"1270","26031 ",32384
"1271","26033 ",47900
"1272","26035 ",30565
"1273","26037 ",47637
"1274","26039 ",31594
"1275","26041 ",55566
"1276","26043 ",65002
"1277","26045 ",66237
"1278","26047 ",51491
"1279","26049 ",52710
"1280","26051 ",42729
"1281","26053 ",52484
"1282","26055 ",61254
"1283","26057 ",44025
"1284","26059 ",78580
"1285","26061 ",93253
"1286","26063 ",74548
"1287","26065 ",58955
"1288","26067 ",26444
"1289","26069 ",38523
"1290","26071 ",60761
"1291","26073 ",42403
"1292","26075 ",30507
"1293","26077 ",43670
"1294","26079 ",64784
"1295","26081 ",79120
"1296","26083 ",26461
"1297","26085 ",72774
"1298","26087 ",56648
"1299","26089 ",51669
"1300","26091 ",84320
"1301","26093 ",64280
