"","Code","State","FIPS","Countynames"
"411","GA","Georgia",13045,"Carroll "
"412","GA","Georgia",13047,"Catoosa "
"413","GA","Georgia",13049,"Charlton "
"414","GA","Georgia",13051,"Chatham "
"415","GA","Georgia",13053,"Chattahoochee "
"416","GA","Georgia",13055,"Chattooga "
"417","GA","Georgia",13057,"Cherokee "
"418","GA","Georgia",13059,"Clarke "
"419","GA","Georgia",13061,"Clay "
"420","GA","Georgia",13063,"Clayton "
"421","GA","Georgia",13065,"Clinch "
"422","GA","Georgia",13067,"Cobb "
"423","GA","Georgia",13069,"Coffee "
"424","GA","Georgia",13071,"Colquitt "
"425","GA","Georgia",13073,"Columbia "
"426","GA","Georgia",13075,"Cook "
"427","GA","Georgia",13077,"Coweta "
"428","GA","Georgia",13079,"Crawford "
"429","GA","Georgia",13081,"Crisp "
"430","GA","Georgia",13083,"Dade "
"431","GA","Georgia",13085,"Dawson "
"432","GA","Georgia",13087,"Decatur "
"433","GA","Georgia",13089,"DeKalb "
"434","GA","Georgia",13091,"Dodge "
"435","GA","Georgia",13093,"Dooly "
"436","GA","Georgia",13095,"Dougherty "
"437","GA","Georgia",13097,"Douglas "
"438","GA","Georgia",13099,"Early "
"439","GA","Georgia",13101,"Echols "
"440","GA","Georgia",13103,"Effingham "
"441","GA","Georgia",13105,"Elbert "
"442","GA","Georgia",13107,"Emanuel "
"443","GA","Georgia",13109,"Evans "
"444","GA","Georgia",13111,"Fannin "
"445","GA","Georgia",13113,"Fayette "
"446","GA","Georgia",13115,"Floyd "
"447","GA","Georgia",13117,"Forsyth "
"448","GA","Georgia",13119,"Franklin "
"449","GA","Georgia",13121,"Fulton "
"450","GA","Georgia",13123,"Gilmer "
"451","GA","Georgia",13125,"Glascock "
"452","GA","Georgia",13127,"Glynn "
"453","GA","Georgia",13129,"Gordon "
"454","GA","Georgia",13131,"Grady "
"455","GA","Georgia",13133,"Greene "
"456","GA","Georgia",13135,"Gwinnett "
"457","GA","Georgia",13137,"Habersham "
